iter	Passed	Remaining
400	29744	341132
401	29851	341434
402	29926	341374
403	29952	340745
404	30042	340853
405	30144	341095
406	30239	341255
407	30318	341236
408	30379	341008
409	30438	340765
410	30515	340720
411	30590	340651
412	30658	340511
413	30692	339986
414	30769	339947
415	30831	339736
416	30917	339800
417	31007	339892
418	31089	339906
419	31167	339871
420	31242	339809
421	31338	339967
422	31411	339883
423	31480	339754
424	31559	339731
425	31631	339629
426	31709	339593
427	31749	339151
428	31814	338979
429	31893	338959
430	31973	338948
431	32049	338895
432	32123	338819
433	32212	338894
434	32291	338879
435	32379	338944
436	32464	338978
437	32549	339017
438	32622	338927
439	32689	338782
440	32778	338863
441	32862	338883
442	32928	338724
443	33008	338712
444	33070	338509
445	33102	338006
446	33189	338053
447	33253	337875
448	33328	337810
449	33392	337630
450	33465	337546
451	33552	337602
452	33642	337692
453	33721	337662
454	33790	337535
455	33880	337612
456	33964	337635
457	34037	337547
458	34107	337428
459	34182	337363
460	34209	336823
461	34280	336716
462	34338	336487
463	34421	336501
464	34512	336586
465	34585	336501
466	34670	336535
467	34755	336559
468	34797	336181
469	34871	336104
470	34917	335759
471	34989	335662
472	35076	335708
473	35140	335543
474	35224	335557
475	35302	335519
476	35382	335501
477	35452	335388
478	35516	335218
479	35603	335265
480	35681	335225
481	35750	335105
482	35820	334987
483	35891	334884
484	35965	334812
485	36054	334879
486	36134	334853
487	36208	334776
488	36297	334846
489	36380	334853
490	36416	334420
491	36492	334370
492	36670	335240
493	36757	335280
494	36837	335255
495	36906	335136
496	36985	335103
497	37061	335042
498	37104	334680
499	37174	334567
500	37257	334572
501	37318	334377
502	37381	334207
503	37457	334141
504	37543	334172
505	37621	334131
506	37702	334121
507	37773	334012
508	37871	334144
509	37976	334342
510	38040	334176
511	38115	334103
512	38191	334044
513	38264	333954
514	38335	333855
515	38420	333869
516	38502	333860
517	38564	333676
518	38625	333486
519	38764	333974
520	38861	334087
521	38965	334269
522	39028	334096
523	39102	334009
524	39179	333957
525	39265	333976
526	39345	333953
527	39423	333902
528	39501	333860
529	39573	333765
530	39652	333724
531	39730	333676
532	39816	333695
533	39907	333754
534	39979	333658
535	40057	333610
536	40151	333700
537	40225	333620
538	40311	333639
539	40392	333609
540	40454	333427
541	40514	333234
542	40597	333226
543	40678	333202
544	40764	333225
545	40857	333295
546	40948	333349
547	40996	333058
548	41058	332876
549	41148	332931
550	41245	333036
551	41327	333018
552	41350	332521
553	41430	332488
554	41503	332402
555	41588	332405
556	41652	332246
557	41760	332436
558	41845	332439
559	41912	332305
560	42003	332361
561	42065	332183
562	42149	332179
563	42218	332058
564	42296	332011
565	42370	331923
566	42434	331768
567	42513	331726
568	42592	331686
569	42679	331700
570	42754	331624
571	42836	331609
572	42926	331648
573	43020	331720
574	43084	331562
575	43165	331536
576	43236	331428
577	43309	331338
578	43385	331277
579	43442	331064
580	43534	331116
581	43598	330955
582	43684	330967
583	43773	331002
584	43842	330880
585	43908	330737
586	43973	330585
587	44042	330469
588	44099	330259
589	44169	330149
590	44237	330021
591	44303	329883
592	44367	329725
593	44434	329595
594	44489	329374
595	44555	329234
596	44619	329078
597	44709	329114
598	44777	328993
599	44851	328912
600	44940	328943
601	45032	328993
602	45119	329004
603	45173	328778
604	45241	328657
605	45321	328620
606	45368	328339
607	45435	328212
608	45482	327934
609	45541	327747
610	45607	327612
611	45644	327267
612	45715	327169
613	45757	326862
614	45839	326842
615	45917	326790
616	45989	326696
617	46096	326852
618	46179	326840
619	46267	326856
620	46334	326725
621	46404	326623
622	46489	326623
623	46572	326601
624	46646	326527
625	46679	326159
626	46753	326084
627	46837	326075
628	46889	325843
629	46967	325788
630	47034	325666
631	47099	325524
632	47175	325456
633	47252	325398
634	47331	325358
635	47413	325336
636	47503	325367
637	47589	325369
638	47670	325335
639	47739	325227
640	47818	325183
641	47904	325181
642	47955	324947
643	47997	324654
644	48038	324351
645	48115	324296
646	48164	324052
647	48239	323980
648	48298	323803
649	48381	323784
650	48426	323511
651	48497	323416
652	48582	323410
653	48650	323297
654	48701	323066
655	48783	323039
656	48868	323037
657	48932	322896
658	49012	322860
659	49095	322842
660	49161	322711
661	49214	322493
662	49285	322400
663	49358	322314
664	49438	322279
665	49503	322147
666	49576	322064
667	49649	321976
668	49706	321794
669	49791	321788
670	49851	321621
671	49936	321617
672	50022	321617
673	50100	321565
674	50179	321519
675	50249	321419
676	50340	321447
677	50421	321421
678	50509	321431
679	50598	321449
680	50680	321424
681	50757	321361
682	50828	321265
683	50909	321238
684	50989	321194
685	51039	320970
686	51119	320926
687	51187	320815
688	51255	320700
689	51296	320414
690	51368	320325
691	51447	320283
692	51519	320194
693	51591	320106
694	51638	319863
695	51703	319726
696	51751	319491
697	51821	319393
698	51898	319334
699	51966	319221
700	52035	319113
701	52112	319061
702	52199	319060
703	52273	318987
704	52354	318952
705	52419	318823
706	52487	318713
707	52563	318646
708	52622	318479
709	52695	318397
710	52785	318420
711	52847	318272
712	52933	318268
713	53009	318204
714	53092	318184
715	53172	318144
716	53254	318112
717	53347	318153
718	53414	318036
719	53501	318037
720	53570	317932
721	53647	317872
722	53723	317810
723	53806	317784
724	53888	317755
725	53974	317747
726	54052	317696
727	54137	317688
728	54223	317682
729	54326	317770
730	54390	317637
731	54592	318304
732	54690	318368
733	54790	318443
734	54873	318415
735	54937	318278
736	55004	318159
737	55066	318013
738	55126	317853
739	55208	317819
740	55293	317805
741	55374	317767
742	55457	317741
743	55541	317723
744	55616	317650
745	55676	317490
746	55752	317422
