iter	RMSE
0	0.1409079197
1	0.1388243028
2	0.13682455
3	0.1347772409
4	0.132860344
5	0.1309826609
6	0.1290259103
7	0.1272406797
8	0.1254417161
9	0.1236450586
10	0.1219940317
11	0.1203306685
12	0.1186987111
13	0.1171088528
14	0.1155466942
15	0.1140369226
16	0.1125671157
17	0.1111218668
18	0.1096985798
19	0.1083334706
20	0.1069757921
21	0.1056507592
22	0.104378303
23	0.1031883292
24	0.1020048666
25	0.1007858583
26	0.0997178084
27	0.098612898
28	0.09754649433
29	0.09649301139
30	0.09554274731
31	0.09462039947
32	0.09360975013
33	0.0926682425
34	0.09175346937
35	0.09093711747
36	0.09005664665
37	0.08904787305
38	0.08825225914
39	0.08747914647
40	0.08653653
41	0.08552467134
42	0.08466366678
43	0.0836812837
44	0.08288343885
45	0.08211380743
46	0.08130314924
47	0.08038352861
48	0.07960595717
49	0.07875920341
50	0.07800207079
51	0.07715304007
52	0.07649197977
53	0.0758946956
54	0.07531786221
55	0.07453504884
56	0.07390008033
57	0.07332055449
58	0.07267180214
59	0.07195487334
60	0.07131542052
61	0.07081667784
62	0.07027007187
63	0.06965787427
64	0.06916702841
65	0.06869830376
66	0.06831116525
67	0.06789212006
68	0.06732851685
69	0.06677248565
70	0.0663412687
71	0.06587945309
72	0.0654153137
73	0.06492015212
74	0.06447387845
75	0.06401200907
76	0.06355573213
77	0.06311958854
78	0.06271393949
79	0.06231812177
80	0.06195154466
81	0.06157256939
82	0.06119972408
83	0.06084094379
84	0.0605136962
85	0.06015290091
86	0.05982853782
87	0.05955325681
88	0.05922608131
89	0.05893003579
90	0.05860077578
91	0.05832182973
92	0.05802788785
93	0.05777296028
94	0.05749856874
95	0.05723318774
96	0.05697936085
97	0.05675050455
98	0.056550725
99	0.05634555452
100	0.05610540227
101	0.0558722562
102	0.05565296652
103	0.05544167292
104	0.05522997717
105	0.0550073855
106	0.05483717625
107	0.05466441603
108	0.05445919001
109	0.05425438562
110	0.05405006044
111	0.05387572167
112	0.05371682046
113	0.05360061065
114	0.05341288781
115	0.05327171711
116	0.05311064616
117	0.0529557927
118	0.05282598983
119	0.0527216827
120	0.05257793179
121	0.05245283019
122	0.05233063713
123	0.05220384354
124	0.05208707506
125	0.05196287452
126	0.05183256562
127	0.05171365474
128	0.05162783514
129	0.05152112973
130	0.05145793506
131	0.05134429367
132	0.05124923122
133	0.05112444836
134	0.05103391144
135	0.05092523426
136	0.05083940682
137	0.05076641485
138	0.05067253492
139	0.05060905279
140	0.05051586157
141	0.05044056113
142	0.05038183167
143	0.05031360283
144	0.05023314677
145	0.0501663099
146	0.05011574463
147	0.05006941912
148	0.0500093371
149	0.04991866803
150	0.04985412649
151	0.04978409492
152	0.04971730212
153	0.04964194035
154	0.04957262356
155	0.04952529297
156	0.04948480433
157	0.04942566012
158	0.04938357354
159	0.04933485869
160	0.04927287595
161	0.04921480753
162	0.04915879332
163	0.04911030637
164	0.04905574013
165	0.04902217703
166	0.04897327039
167	0.04894501046
168	0.04891018626
169	0.04885998461
170	0.04880864415
171	0.04878309651
172	0.04873854024
173	0.04869274949
174	0.0486513621
175	0.04860906987
176	0.04857332634
177	0.04853376678
178	0.04849712602
179	0.04846990967
180	0.04841049986
181	0.04838086798
182	0.04833162953
183	0.04828961089
184	0.04825267529
185	0.04820904015
186	0.04813414556
187	0.04810911187
188	0.04807331186
189	0.04805371954
190	0.04803306872
191	0.04802457144
192	0.04801494061
193	0.04798948591
194	0.04795228734
195	0.04792913765
196	0.04789472222
197	0.04786689955
198	0.0478358165
199	0.04781129441
200	0.04775967048
201	0.0477376414
202	0.04770186787
203	0.04767262905
204	0.04765204032
205	0.04761672455
206	0.04757823673
207	0.04754966475
208	0.04750289135
209	0.04748187457
210	0.04746463721
211	0.04745684626
212	0.04742987294
213	0.04741563968
214	0.04740969584
215	0.04739180733
216	0.04736104155
217	0.04732103887
218	0.0472564909
219	0.04722780056
220	0.04716863266
221	0.04714963907
222	0.04714016484
223	0.04710858725
224	0.04708342463
225	0.04705903327
226	0.04703866026
227	0.04702129391
228	0.04699949445
229	0.04697598068
230	0.0469586268
231	0.04694884477
232	0.04692868234
233	0.04691722554
234	0.04688776343
235	0.04685943525
236	0.04683844899
237	0.04682727201
238	0.04681428958
239	0.04679103767
240	0.04677551587
241	0.04675699592
242	0.04673336848
243	0.04671497293
244	0.04668729279
245	0.04667078693
246	0.04664106691
247	0.04662271466
248	0.04657958217
249	0.04656904073
250	0.04653710815
251	0.04651126916
252	0.04649386519
253	0.04649377307
254	0.0464769577
255	0.04647182585
256	0.04646725946
257	0.04645501304
258	0.04643272137
259	0.04642664085
260	0.04641771422
261	0.04639634103
262	0.04637769718
263	0.04635427249
264	0.04632861364
265	0.04632340594
266	0.0462976969
267	0.04628515937
268	0.04626924749
269	0.04625284528
270	0.04624174904
271	0.0462191165
272	0.04619989872
273	0.04618799966
274	0.04618299226
275	0.04616777484
276	0.04615709333
277	0.04614424216
278	0.04613309662
279	0.0461213063
280	0.04608168479
281	0.04605713813
282	0.04601005179
283	0.04599852612
284	0.04598753116
285	0.04598632559
